Principal Component,Eigenvalue,Explained Variance Ratio (%),Cumulative Variance (%)
PC1,1.6205604103557012,16.043548062521438,16.043548062521438
PC2,1.2750098479219647,12.622597494427449,28.666145556948884
PC3,1.214669891655647,12.025231927390905,40.69137748433979
PC4,1.1172544406223301,11.060818962161068,51.75219644650086
PC5,1.0040569347929813,9.940163654450513,61.69236010095138
PC6,0.9132718676332018,9.041391489568698,70.73375159052007
PC7,0.857783391335124,8.492055574217726,79.2258071647378
PC8,0.7835955530580901,7.757595975275092,86.9834031400129
PC9,0.7197276062485634,7.125303301860776,94.10870644187366
PC10,0.5950801573864978,5.8912935581263275,100.0
